GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02,HC02_EST_VC36
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder
8600000US01606,01606,ZCTA5 01606,62556,46684
8600000US01607,01607,ZCTA5 01607,45288,50568
8600000US01608,01608,ZCTA5 01608,19846,18958
8600000US01609,01609,ZCTA5 01609,41013,26278
8600000US01610,01610,ZCTA5 01610,29994,28644
8600000US01611,01611,ZCTA5 01611,70750,85804
8600000US01612,01612,ZCTA5 01612,107681,71786
8600000US01701,01701,ZCTA5 01701,87376,51324
8600000US01702,01702,ZCTA5 01702,56747,47991
8600000US01718,01718,ZCTA5 01718,130625,43482
8600000US01719,01719,ZCTA5 01719,106597,71563
8600000US01720,01720,ZCTA5 01720,113690,56556
8600000US01721,01721,ZCTA5 01721,95296,51228
8600000US01730,01730,ZCTA5 01730,106219,53125
8600000US01731,01731,ZCTA5 01731,78047,-
8600000US01740,01740,ZCTA5 01740,140439,161630
8600000US01741,01741,ZCTA5 01741,160000,36111
8600000US01742,01742,ZCTA5 01742,132059,102163
8600000US01745,01745,ZCTA5 01745,55789,-
8600000US01746,01746,ZCTA5 01746,107192,54107
8600000US01747,01747,ZCTA5 01747,98902,78958
8600000US01748,01748,ZCTA5 01748,127821,45043
8600000US01749,01749,ZCTA5 01749,70192,43917
8600000US01752,01752,ZCTA5 01752,70849,48284
8600000US01754,01754,ZCTA5 01754,79441,70121
8600000US01756,01756,ZCTA5 01756,95533,39125
8600000US01757,01757,ZCTA5 01757,69422,49659
8600000US01760,01760,ZCTA5 01760,94894,65164
8600000US01770,01770,ZCTA5 01770,151944,41875
8600000US01772,01772,ZCTA5 01772,139479,74464
8600000US01773,01773,ZCTA5 01773,133690,114286
8600000US01775,01775,ZCTA5 01775,112375,77813
8600000US01776,01776,ZCTA5 01776,164337,86319
8600000US01778,01778,ZCTA5 01778,124390,55638
8600000US01801,01801,ZCTA5 01801,73293,56467
8600000US01803,01803,ZCTA5 01803,91875,73854
8600000US01810,01810,ZCTA5 01810,118324,56063
8600000US01821,01821,ZCTA5 01821,90389,59000
8600000US01824,01824,ZCTA5 01824,98833,44421
8600000US01826,01826,ZCTA5 01826,73255,49783
8600000US01827,01827,ZCTA5 01827,109211,54107
8600000US01830,01830,ZCTA5 01830,55137,34455
8600000US01832,01832,ZCTA5 01832,58276,56681
8600000US01833,01833,ZCTA5 01833,104902,48125
8600000US01834,01834,ZCTA5 01834,94517,85000
8600000US01835,01835,ZCTA5 01835,71875,61403
8600000US01840,01840,ZCTA5 01840,20359,17250
8600000US01841,01841,ZCTA5 01841,30676,25446
8600000US01843,01843,ZCTA5 01843,44361,31607
8600000US01844,01844,ZCTA5 01844,65855,36152
8600000US01845,01845,ZCTA5 01845,97044,70855
8600000US01850,01850,ZCTA5 01850,53673,45536
8600000US01851,01851,ZCTA5 01851,51736,43856
8600000US01852,01852,ZCTA5 01852,51616,44262
8600000US01854,01854,ZCTA5 01854,49306,35655
8600000US01860,01860,ZCTA5 01860,78279,54485
8600000US01862,01862,ZCTA5 01862,87134,66667
8600000US01863,01863,ZCTA5 01863,79962,42917
8600000US01864,01864,ZCTA5 01864,105198,48750
8600000US01867,01867,ZCTA5 01867,102719,62404
8600000US01876,01876,ZCTA5 01876,89498,51146
8600000US01879,01879,ZCTA5 01879,104888,41524
8600000US01880,01880,ZCTA5 01880,86328,60904
8600000US01886,01886,ZCTA5 01886,121136,46875
8600000US01887,01887,ZCTA5 01887,99028,51429
8600000US01890,01890,ZCTA5 01890,128199,61941
8600000US01901,01901,ZCTA5 01901,23432,65871
8600000US01902,01902,ZCTA5 01902,36568,24494
8600000US01904,01904,ZCTA5 01904,75493,50508
8600000US01905,01905,ZCTA5 01905,41941,41657
8600000US01906,01906,ZCTA5 01906,75910,44167
8600000US01907,01907,ZCTA5 01907,93229,61818
8600000US01908,01908,ZCTA5 01908,70750,33942
8600000US01913,01913,ZCTA5 01913,80062,42596
8600000US01915,01915,ZCTA5 01915,67958,48288
8600000US01921,01921,ZCTA5 01921,134263,86689
8600000US01922,01922,ZCTA5 01922,107304,82159
8600000US01923,01923,ZCTA5 01923,79183,50368
8600000US01929,01929,ZCTA5 01929,82009,50372
8600000US01930,01930,ZCTA5 01930,62059,50781
8600000US01937,01937,ZCTA5 01937,-,-
8600000US01938,01938,ZCTA5 01938,82847,54785
8600000US01940,01940,ZCTA5 01940,103379,40909
8600000US01944,01944,ZCTA5 01944,117063,61500
8600000US01945,01945,ZCTA5 01945,105090,54708
8600000US01949,01949,ZCTA5 01949,97314,81719
8600000US01950,01950,ZCTA5 01950,83509,50722
8600000US01951,01951,ZCTA5 01951,67219,52372
8600000US01952,01952,ZCTA5 01952,73384,46683
8600000US01960,01960,ZCTA5 01960,66997,42078
8600000US01966,01966,ZCTA5 01966,68488,31892
8600000US01969,01969,ZCTA5 01969,87946,70982
8600000US01970,01970,ZCTA5 01970,56530,46727
8600000US01982,01982,ZCTA5 01982,105100,43672
8600000US01983,01983,ZCTA5 01983,117771,105536
8600000US01984,01984,ZCTA5 01984,143182,125313
8600000US01985,01985,ZCTA5 01985,112569,43105
8600000US02019,02019,ZCTA5 02019,82859,61250
8600000US02021,02021,ZCTA5 02021,90259,53482
8600000US02025,02025,ZCTA5 02025,120508,80357
8600000US02026,02026,ZCTA5 02026,82193,47191
8600000US02030,02030,ZCTA5 02030,187598,86635
8600000US02032,02032,ZCTA5 02032,73800,54063
8600000US02035,02035,ZCTA5 02035,90914,64625
8600000US02038,02038,ZCTA5 02038,97267,67700
8600000US02043,02043,ZCTA5 02043,101268,51607
8600000US02045,02045,ZCTA5 02045,73396,53897
8600000US02047,02047,ZCTA5 02047,31190,-
8600000US02048,02048,ZCTA5 02048,94512,55640
8600000US02050,02050,ZCTA5 02050,90561,48601
8600000US02052,02052,ZCTA5 02052,124567,41641
8600000US02053,02053,ZCTA5 02053,108181,34092
8600000US02054,02054,ZCTA5 02054,92972,49855
8600000US02056,02056,ZCTA5 02056,128224,53594
8600000US02061,02061,ZCTA5 02061,114213,48750
8600000US02062,02062,ZCTA5 02062,75795,52500
8600000US02066,02066,ZCTA5 02066,95192,56711
8600000US02067,02067,ZCTA5 02067,128250,78542
8600000US02071,02071,ZCTA5 02071,97981,-
8600000US02072,02072,ZCTA5 02072,75361,44938
8600000US02081,02081,ZCTA5 02081,91394,69852
8600000US02090,02090,ZCTA5 02090,130824,38651
8600000US02093,02093,ZCTA5 02093,101330,51292
8600000US02108,02108,ZCTA5 02108,95753,96048
8600000US02109,02109,ZCTA5 02109,128022,135300
8600000US02110,02110,ZCTA5 02110,123795,124535
8600000US02111,02111,ZCTA5 02111,44758,22557
8600000US02113,02113,ZCTA5 02113,64413,68044
8600000US02114,02114,ZCTA5 02114,79734,81324
8600000US02115,02115,ZCTA5 02115,23677,22368
8600000US02116,02116,ZCTA5 02116,87630,86250
8600000US02118,02118,ZCTA5 02118,50000,53152
8600000US02119,02119,ZCTA5 02119,27051,20144
8600000US02120,02120,ZCTA5 02120,32367,39890
8600000US02121,02121,ZCTA5 02121,30419,18911
8600000US02122,02122,ZCTA5 02122,51798,56406
8600000US02124,02124,ZCTA5 02124,48329,34438
8600000US02125,02125,ZCTA5 02125,42298,40382
8600000US02126,02126,ZCTA5 02126,43532,31335
8600000US02127,02127,ZCTA5 02127,67012,72775
8600000US02128,02128,ZCTA5 02128,49549,39884
