GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02,HC02_EST_VC10,HC02_EST_VC22,HC02_EST_VC30
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households
8600000US01331,01331,ZCTA5 01331,51750,-,63636,31472
8600000US01337,01337,ZCTA5 01337,65139,-,79063,36971
8600000US01338,01338,ZCTA5 01338,66375,-,70000,-
8600000US01339,01339,ZCTA5 01339,51346,-,59167,40147
8600000US01340,01340,ZCTA5 01340,54063,-,61786,33750
8600000US01341,01341,ZCTA5 01341,89688,-,110179,39792
8600000US01342,01342,ZCTA5 01342,102219,-,133000,74750
8600000US01343,01343,ZCTA5 01343,83125,-,83438,-
8600000US01344,01344,ZCTA5 01344,61563,-,72885,39167
8600000US01346,01346,ZCTA5 01346,56500,-,70000,38125
8600000US01347,01347,ZCTA5 01347,39211,-,41458,-
8600000US01349,01349,ZCTA5 01349,60493,-,61938,53750
8600000US01350,01350,ZCTA5 01350,31750,-,-,23500
8600000US01351,01351,ZCTA5 01351,81833,-,100347,48438
8600000US01354,01354,ZCTA5 01354,74167,-,84722,46591
8600000US01355,01355,ZCTA5 01355,68681,118333,79688,51458
8600000US01360,01360,ZCTA5 01360,63963,-,86447,37500
8600000US01364,01364,ZCTA5 01364,37911,-,56368,17591
8600000US01366,01366,ZCTA5 01366,65774,-,78750,41563
8600000US01367,01367,ZCTA5 01367,50357,-,60208,28542
8600000US01368,01368,ZCTA5 01368,67333,-,77625,42240
8600000US01370,01370,ZCTA5 01370,54803,55833,77941,32434
8600000US01373,01373,ZCTA5 01373,71174,-,86078,52784
8600000US01375,01375,ZCTA5 01375,53934,-,67455,31300
8600000US01376,01376,ZCTA5 01376,41836,-,55408,23784
8600000US01378,01378,ZCTA5 01378,56985,-,79531,31786
8600000US01379,01379,ZCTA5 01379,44750,35313,62708,33125
8600000US01420,01420,ZCTA5 01420,50617,31435,59307,30962
